evidence_id,evidence,article
Effects of global warming on human health:156,"One piece of their evidence is that in summer 2003, during Europes big heat wave, there were 70,000 recorded deaths related to the heat.",Effects of global warming on human health
Effects of global warming on humans:3,"In addition, climatic changes are estimated to cause over 150,000 deaths annually.",Effects of global warming on humans
Effects of global warming:208,"Air pollution, wildfires, and heat waves caused by global warming have significantly affected human health, and in 2007, the World Health Organization estimated 150,000 people were being killed by climate-change-related issues every year.",Effects of global warming
Effects of global warming:215,"Even so, climate change was projected to cause an additional 250 000 additional deaths per year between 2030 and 2050.",Effects of global warming
Global warming controversy:349,Wouldnt you think it makes sense to make sure were as robust and wealthy as possible?,Global warming controversy
Climate change in Australia:205,"Global warming could lead to substantial alterations in climate extremes, such as tropical cyclones, heat waves and severe precipitation events.",Climate change in Australia
Climate change in Australia:99,"By 2014, another report revealed that, due to the change in climatic patterns, the heat waves were found to be increasingly more frequent and severe, with an earlier start to the season and longer duration.",Climate change in Australia
East Coast of the United States:13,"The area from southern Rhode Island, Connecticut and New York City south to central Florida has a temperate climate, with long, hot summers and cold winters with occasional snow in the northern portions, and milder winters in the southern portions.",East Coast of the United States
Lyme disease:168,"In the U.S., Lyme is most common in the New England and Mid-Atlantic states and parts of Wisconsin and Minnesota, but it is expanding into other areas.",Lyme disease
Lyme disease:402,Lyme disease occurs regularly in Northern Hemisphere temperate regions.,Lyme disease
Temperate climate:15,"These are the climates that are typically found at southernmost portion of the temperate zone between 23.5° and 35° north or south, and thus are far more influenced by the tropics than any other tepid climate type, usually having warmer temperatures over the year, longer summers and mild, short winters.",Temperate climate
Temperate climate:28,In these the temperatures remain relatively cool through most of the year as opposed to mild and warm in the subtropics and cold in the subpoles.,Temperate climate
Mountain pine beetle:45,The US Forest Service results show colloidal chitosan elicited a 40% increase in pine resin P<0.05 in southern pine trees.,Mountain pine beetle
Mountain pine beetle:8,"However, unusually hot, dry summers and mild winters throughout the region during the last few years, along with forests filled with mature lodgepole pine, have led to an unprecedented epidemic.",Mountain pine beetle
Mountain pine beetle:9,"It may be the largest forest insect blight ever seen in North America., monocultural replanting, and a century of forest fire suppression have contributed to the size and severity of the outbreak, and the outbreak itself may, with similar infestations, have significant effects on the capability of northern forests to remove greenhouse gas CO2 from the atmosphere.",Mountain pine beetle
Mountain pine beetle:92,"As of May 2013, the Pine Beetle is aggressively devastating forests in all 19 Western States and Canada, destroying approximately 88 million acres of timber at a 70-90% kill rate.",Mountain pine beetle
Mountain pine beetle:96,"A lodgepole pine tree with a pitch tube A lodgepole pine tree infested by the mountain pine beetle, with visible pitch tubes Invaded pine tree forest on the slopes of Chancellor Peak in Yoho National Park, Canada A pine tree forest north of Breckenridge, CO shows infestation in 2008.",Mountain pine beetle
Effects of global warming on human health:294,"For example, the heat wave that passed through Europe in 2003 cost 13 billion euros in uninsured agriculture losses.",Effects of global warming on human health
Effects of global warming on humans:136,"Increased extreme weather means more water falls on hardened ground unable to absorb it, leading to flash floods instead of a replenishment of soil moisture or groundwater levels.",Effects of global warming on humans
Flood:92,"Economic hardship due to a temporary decline in tourism, rebuilding costs, or food shortages leading to price increases is a common after-effect of severe flooding.",Flood
Severe weather:189,"In economic terms, they can cost many billions of dollars: a drought in the United States in 1988 caused over $40 billion in losses, exceeding the economic totals of Hurricane Andrew, the Great Flood of 1993, and the 1989 Loma Prieta earthquake.",Severe weather
Biodiversity:171,"Biodiversitys relevance to human health is becoming an international political issue, as scientific evidence builds on the global health implications of biodiversity loss.",Biodiversity
Climate change in Australia:21,"clarification needed Predictions measuring the effects of global warming on Australia assert that global warming will negatively impact the continents environment, economy, and communities.",Climate change in Australia
Effects of global warming on human health:556,Doctors Warn Climate Change Threatens Public Health; Physicians are noticing an influx of patients whose illnesses are directly or indirectly related to global warming.,Effects of global warming on human health
Effects of global warming:7,"This in combination with extreme weather events, leads to negative effects on human health.",Effects of global warming
Beaufort Sea:161,Arctic sea ice extent averaged for September 2012 was 3.61 million square kilometers 1.39 million square miles.,Beaufort Sea
Climate change in the Arctic:33,"It continued to fall, bottoming out on 16 September 2012 at 3.41 million square kilometers 1.32 million square miles, or 760,000 square kilometers 293,000 square miles below the previous low set on 18 September 2007 and 50% below the 1979-2000 average.",Climate change in the Arctic
Climate change in the Arctic:374,Arctic sea ice volume now one-fifth its 1979 level.,Climate change in the Arctic
Climate change in the Arctic:43,"Since 1979, the ice volume has shrunk by 80% and in just the past decade the volume declined by 36% in the autumn and 9% in the winter.",Climate change in the Arctic
Global cooling:45,"Concern peaked in the early 1970s, though the possibility of anthropogenic warming dominated the peer-reviewed literature even then a cooling period began in 1945, and two decades of a cooling trend suggested a trough had been reached after several decades of warming.",Global cooling
Global cooling:73,"During the last 20-30 years, world temperature has fallen, irregularly at first but more sharply over the last decade.",Global cooling
Quaternary glaciation:124,"Based on orbital models, the cooling trend initiated about 6,000 years ago will continue for another 23,000 years.",Quaternary glaciation
Quaternary glaciation:126,"It is possible that the current cooling trend may be interrupted by an interstadial in about 60,000 years, with the next glacial maximum reached only in about 100,000 years.",Quaternary glaciation
Cambrian:45,"There were likely polar ice caps and a series of glaciations, as the planet was still recovering from an earlier Snowball Earth.",Cambrian
Ice age:4,"In the terminology of glaciology, ice age implies the presence of extensive ice sheets in both northern and southern hemispheres.",Ice age
Ice age:89,There were extensive polar ice caps at intervals from 360 to 260 million years ago in South Africa during the Carboniferous and early Permian Periods.,Ice age
Polar ice cap:16,Both 2008 and 2009 had a minimum Arctic sea ice extent somewhat above that of 2007.,Polar ice cap
Polar ice cap:29,"The single-day maximum extent in 2014 was reached on 20 Sep, according to NSIDC data, when the sea ice covered 7.78 million square miles 20.14 million square kilometers.",Polar ice cap
Retreat of glaciers since 1850:172,"Ice cover decreased to 297 km2 115 sq mi by 1987-1988 and to 245 km2 95 sq mi by 2005, 50% of the 1850 area.",Retreat of glaciers since 1850
Retreat of glaciers since 1850:327,The net loss in volume and hence sea level contribution of the Greenland Ice Sheet GIS has doubled in recent years from 90 km3 22 cu mi per year in 1996 to 220 km3 53 cu mi per year in 2005.,Retreat of glaciers since 1850
Retreat of glaciers since 1850:44,"The Trift Glacier had the greatest recorded retreat, losing 350 m 1,150 ft of its length between the years 2003 and 2005.",Retreat of glaciers since 1850
Retreat of glaciers since 1850:50,This long-term average was markedly surpassed in recent years with the glacier receding 30 m 98 ft per year during the period between 1999-2005.,Retreat of glaciers since 1850
Effects of global warming on human health:0,The effects of global warming include its effects on human health.,Effects of global warming on human health
Effects of global warming on human health:270,"There are, however, some positive possible aspects to climate change as well.",Effects of global warming on human health
Effects of global warming on human health:297,This could negatively affect the affordability of food and the subsequent health of the population.,Effects of global warming on human health
Effects of global warming on human health:397,Floods have short and long term negative implications to peoples health and well being.,Effects of global warming on human health
Effects of global warming on human health:437,These melting glaciers have many social and ecological consequences that directly or indirectly impact the health and well-being of humans.,Effects of global warming on human health
City:292,The temperature in New York City exceeds nearby rural temperatures by an average of 2-3 °C and at times 5-10 °C differences have been recorded.,City
James Hansen:44,They concluded that global mean temperatures can be determined even though meteorological stations are typically in the Northern hemisphere and confined to continental regions.,James Hansen
Mars:211,"In September 2017, NASA reported radiation levels on the surface of the planet Mars were temporarily doubled, and were associated with an aurora 25 times brighter than any observed earlier, due to a massive, and unexpected, solar storm in the middle of the month.",Mars
NASA Deep Space Network:28,"Deep space missions are visible for long periods of time from a large portion of the Earths surface, and so require few stations the DSN has only three main sites.",NASA Deep Space Network
NASA Deep Space Network:83,"Three were located at Goldstone, and one each at Canberra and Madrid.",NASA Deep Space Network
Storm:11,"Lately, the temperature criterion has fallen out of the definition across the United States Bomb cyclone - A rapid deepening of a mid-latitude cyclonic low-pressure area, typically occurring over the ocean, but can occur over land.",Storm
Temperature:110,"Nevertheless, a thermodynamic temperature does in fact have a definite numerical value that has been arbitrarily chosen by tradition and is dependent on the property of a particular materials; it is simply less arbitrary than relative degrees scales such as Celsius and Fahrenheit.",Temperature
Temperature:199,"It has the symbol K. For everyday applications, it is often convenient to use the Celsius scale, in which 0 °C corresponds very closely to the freezing point of water and 100 °C is its boiling point at sea level.",Temperature
Temperature:4,"The most common scales are the Celsius scale formerly called centigrade, denoted °C, the Fahrenheit scale denoted °F, and the Kelvin scale denoted K, the latter of which is predominantly used for scientific purposes by conventions of the International System of Units SI.",Temperature
Density:10,The density of a material varies with temperature and pressure.,Density
Population density:0,"standing stock and standing crop is a measurement of population per unit area, or exceptionally unit volume; it is a quantity of type number density.",Population density
Thermodynamic temperature:330,"Averaged across any bulk quantity of a gas, the internal thermal motions of molecules have zero net effect upon the temperature, pressure, or volume of a gas.",Thermodynamic temperature
City:234,Cities are responsible for a substantial portion of the emissions responsible for global warming.,City
Figure of the Earth:19,The primary utility of this improved accuracy was to provide geographical and gravitational data for the inertial guidance systems of ballistic missiles.,Figure of the Earth
Figure of the Earth:6,"While it is the surface on which Earth measurements are made, mathematically modeling it while taking the irregularities into account would be extremely complicated.",Figure of the Earth
Figure of the Earth:62,The latter is particularly important because optical instruments containing gravity-reference leveling devices are commonly used to make geodetic measurements.,Figure of the Earth
Figure of the Earth:9,"However, a more accurate figure is needed for measuring distances and areas on the scale beyond the purely local.",Figure of the Earth
Little Ice Age:25,Canals and rivers in Great Britain and the Netherlands were frequently frozen deeply enough to support ice skating and winter festivals.,Little Ice Age
River Thames:210,"During a series of cold winters the Thames froze over above London Bridge: in the first Frost Fair in 1607, a tent city was set up on the river, along with a number of amusements, including ice bowling.",River Thames
River Thames:217,"After temperatures began to rise again, starting in 1814, the river stopped freezing over.",River Thames
Winter:105,"In the UK, snow drifts remained on hills until late July, and the Thames froze in September.",Winter
Winter:97,The Thames remained frozen over for about 8 weeks.,Winter
Earth:59,"The resultant molecular oxygen O2 accumulated in the atmosphere and due to interaction with ultraviolet solar radiation, formed a protective ozone layer O3 in the upper atmosphere.",Earth
Ozone:168,"Ozone acts as a greenhouse gas, absorbing some of the infrared energy emitted by the earth.",Ozone
Scientific consensus on climate change:714,These human activities have significantly increased the concentration of greenhouse gases in the atmosphere.,Scientific consensus on climate change
Sulfur dioxide:10,"There, it condenses to form clouds, and is a key component of chemical reactions in the planets atmosphere and contributes to global warming.",Sulfur dioxide
Climate change in the Arctic:3,"Potential methane releases from the region, especially through the thawing of permafrost and methane clathrates, may occur.",Climate change in the Arctic
Glacier:13,"Within high-altitude and Antarctic environments, the seasonal temperature difference is often not sufficient to release meltwater.",Glacier
Thaumasia quadrangle:84,"On Mars, heat from the impact melts ice in the ground.",Thaumasia quadrangle
Extinction:15,"According to the 2019 Global Assessment Report on Biodiversity and Ecosystem Services by IPBES, the biomass of wild mammals has fallen by 82%, natural ecosystems have lost about half their area and a million species are at risk of extinction, all largely as a result of human actions.",Extinction
Extinction:16,Twenty-five percent of plant and animal species are threatened with extinction.,Extinction
Extinction:17,"In June 2019, one million species of plants and animals were at risk of extinction.",Extinction
Human overpopulation:167,"Worst of all, we have driven the rate of biological extinction, the permanent loss of species, up several hundred times beyond its historical levels, and are threatened with the loss of a majority of all species by the end of the 21st century.",Human overpopulation
Human overpopulation:178,"Present extinction rates may be as high as 140,000 species lost per year due to human activity, such as slash-and-burn techniques that sometimes are practiced by shifting cultivators, especially in countries with rapidly expanding rural populations, which have reduced habitat in tropical forests.",Human overpopulation
Coral reef:237,Tropical waters contain few nutrients yet a coral reef can flourish like an oasis in the desert.,Coral reef
Coral reef:328,"For example, Midway Atoll in Hawaii supports nearly three million seabirds, including two-thirds 1.5 million of the global population of Laysan albatross, and one-third of the global population of black-footed albatross.",Coral reef
Coral:142,Approximately 10% of the worlds coral reefs are dead.,Coral
Coral:226,"Aquaculture is showing promise as a potentially effective tool for restoring coral reefs, which have been declining around the world.",Coral
Marine habitats:189,This can rapidly result in transitions to barren landscapes where relatively few species persist.,Marine habitats
2006 European heat wave:133,The autumn of 2006 was the warmest in recorded history.,2006 European heat wave
Climate change in the United States:4,"As of 2012, the thirteen warmest years for the entire planet have all occurred since 1998, transcending those from 1880.",Climate change in the United States
Constanța:43,Summer early June to mid September is hot and sunny with a July and August average of 23 °C 73 °F.,Constanta
Constanța:56,"Four of the warmest 7 years since 1889 occurred after the year 2000 2000, 2001, 2007 and 2008.",Constanta
Deforestation:41,Tropical deforestation is responsible for approximately 20% of world greenhouse gas emissions.,Deforestation
Greenhouse gas:120,"Land-use change, such as deforestation, caused about 31% of cumulative emissions over 1870-2017, coal 32%, oil 25%, and gas 10%.",Greenhouse gas
Greenhouse gas:234,"The estimate of total CO2 emissions includes biotic carbon emissions, mainly from deforestation.",Greenhouse gas
Climate change in the United States:45,"Human-induced climate change has, e.g., the potential to alter the prevalence and severity of extreme weathers such as heat waves, cold waves, storms, floods and droughts.",Climate change in the United States
Effects of global warming:2,"Many physical impacts of global warming are already visible, including extreme weather events, glacier retreat, changes in the timing of seasonal events e.g., earlier flowering of plants, sea level rise, and declines in Arctic sea ice extent.",Effects of global warming
Amazon rainforest:123,Amazonian forests are estimated to have accumulated 0.62 ± 0.37 tons of carbon per hectare per year between 1975 and 1996.,Amazon rainforest
Forest:5,"Net primary production is estimated at 21.9 gigatonnes carbon per year for tropical forests, 8.1 for temperate forests, and 2.6 for boreal forests.",Forest
Mangrove:52,Mangrove forests are an important part of the cycling and storage of carbon in tropical coastal ecosystems.,Mangrove
Mire:76,Tropical peatlands comprise 0.25% of Earths terrestrial land surface but store 3% of all soil and forest carbon stocks and are mostly located in low-income countries.,Mire
Seagrass:23,"Per hectare, it holds twice as much carbon dioxide as rain forests and can sequester about 27.4 million tons of CO2 annually.",Seagrass
Deforestation:49,Both the decay and the burning of wood release much of this stored carbon back into the atmosphere.,Deforestation
Ecology:433,"For example, through the early-mid Eocene volcanic outgassing, the oxidation of methane stored in wetlands, and seafloor gases increased atmospheric CO2 carbon dioxide concentrations to levels as high as 3500 ppm.",Ecology
Marine pollution:245,"special protection and perservation of peat bogs, wetlands, marshlands and mangrove swamps to ensure carbon dioxide is absorbed from the atmosphere.",Marine pollution
Urbanization:127,"Furthermore, as algal blooms die, CO2 is produced, causing a more acidic environment, a process known as acidification.",Urbanization
2015 United Nations Climate Change Conference:2,"The conference negotiated the Paris Agreement, a global agreement on the reduction of climate change, the text of which represented a consensus of the representatives of the 196 attending parties.",2015 United Nations Climate Change Conference
2015 United Nations Climate Change Conference:36,"On 12 December 2015, the participating 196 countries agreed, by consensus, to the final global pact, the Paris Agreement, to reduce emissions as part of the method for reducing greenhouse gas.",2015 United Nations Climate Change Conference
2015 United Nations Climate Change Conference:4,"On 22 April 2016 Earth Day, 174 countries signed the agreement in New York, and began adopting it within their own legal systems through ratification, acceptance, approval, or accession.",2015 United Nations Climate Change Conference
United Nations Framework Convention on Climate Change:43,"In 2015, all then 196 parties to the convention came together for the UN Climate Change Conference in Paris 30 November - 12 December and adopted by consensus the Paris Agreement, aimed at limiting global warming to less than two degrees Celsius, and pursue efforts to limit the rise to 1.5 degrees Celsius.",United Nations Framework Convention on Climate Change
Climate change mitigation:80,"Globally, there are an estimated 3 million direct jobs in renewable energy industries, with about half of them in the biofuels industry.",Climate change mitigation
Human overpopulation:144,"Since 1980, the global economy has grown by 380 percent, but the number of people living on less than 5 US dollars a day increased by more than 1.1 billion.",Human overpopulation
Sustainability:170,"Poverty - End poverty in all its forms everywhere Food - End hunger, achieve food security and improved nutrition and promote sustainable agriculture Health - Ensure healthy lives and promote well-being for all at all ages Education - Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all Women - Achieve gender equality and empower all women and girls Water - Ensure availability and sustainable management of water and sanitation for all Energy - Ensure access to affordable, reliable, sustainable and modern energy for all Economy - Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all Infrastructure - Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation Inequality - Reduce inequality within and among countries Habitation - Make cities and human settlements inclusive, safe, resilient and sustainable Consumption - Ensure sustainable consumption and production patterns Climate - Take urgent action to combat climate change and its impacts, ensuring that both mitigation and adaptation strategies are in place Marine-ecosystems - Conserve and sustainably use the oceans, seas and marine resources for sustainable development Ecosystems - Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss Institutions - Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels Sustainability - Strengthen the means of implementation and revitalize the global partnership for sustainable development As of August 2015, there were 169 proposed targets for these goals and 304 proposed indicators to show compliance.",Sustainability
Sustainable Development Goals:348,The Economist estimated that alleviating poverty and achieving the other sustainable development goals will require about US$2-3 trillion per year for the next 15 years which they called pure fantasy.,Sustainable Development Goals
Sustainable Development Goals:349,Estimates for providing clean water and sanitation for the whole population of all continents have been as high as US$200 billion.,Sustainable Development Goals
Electricity sector in Argentina:195,"In 2011, according to the International Energy Agency, the actual CO2 emissions from electricity generation were 67.32 million metric tons, a share of 36.7% of the countries total CO2 emissions from fuel combustion.",Electricity sector in Argentina
Environmental impact of aviation:13,747 Mt for passenger transport and 171 Mt for freight operations.,Environmental impact of aviation
Environmental impact of aviation:47,"In 2018, CO2 emissions totalled 747 million tonnes for passenger transport, for 8.5 trillion revenue passenger kilometres RPK, giving an average of 88 gram CO2 per RPK.",Environmental impact of aviation
Gasoline:457,"The U.S. EIA estimates that U.S. motor gasoline and diesel distillate fuel consumption for transportation in 2015 resulted in the emission of about 1,105 million metric tons of CO2 and 440 million metric tons of CO2, respectively, for a total of 1,545 million metric tons of CO2.",Gasoline
Greenhouse gas emissions by the United States:0,"The United States produced 5.4 billion metric tons of carbon dioxide equivalent greenhouse gas GHG emissions in 2018, the second largest in the world after China and among the worst countries by greenhouse gas emissions per person.",Greenhouse gas emissions by the United States
Airline:324,"Currently, the aviation sector, including US domestic and global international travel, make approximately 1.6 percent of global anthropogenic GHG emissions per annum.",Airline
Environmental impact of aviation:17,In 1999 the contribution of civil aircraft-in-flight to global CO2 emissions was estimated to be around two percent.,Environmental impact of aviation
Environmental impact of aviation:50,"In 2018, the US airlines had a fuel consumption of 58 mpg-US 4.06 L/100 km per revenue passenger for domestic flights, or 32.5 g of fuel per km, generating 102 g CO2 / RPK of emissions.",Environmental impact of aviation
Environmental impact of aviation in the United Kingdom:131,Air transport in the UK accounted for 6.3 per cent of all UK carbon emissions in 2006.,Environmental impact of aviation in the United Kingdom
Environmental impact of aviation:49,"In Europe, the average airline fuel consumption per passenger in 2017 was 3.4 L/100 km 69 mpg-US, 24% less than in 2005, but as the traffic grew by 60% to 1,643 billion passenger kilometres, CO2 emissions were up by 16% to 163 million tonnes for 99.8 g/km CO2 per passenger.",Environmental impact of aviation
Germany:321,"Nevertheless, the countrys total greenhouse gas emissions were the highest in the EU in 2017.",Germany
Greenhouse gas:242,"Over this time period, the US accounted for 28% of emissions; the EU, 23%; Russia, 11%; China, 9%; other OECD countries, 5%; Japan, 4%; India, 3%; and the rest of the world, 18%.",Greenhouse gas
Greenhouse gas:271,"Luxembourg 34.7, the US 22.0, Singapore 20.2, Australia 16.7, and Canada 16.6.",Greenhouse gas
Aircraft lease:34,"511 turboprop regional airliners, 792 regional jets, 5,612 narrowbody and 1,253 widebody airliners.",Aircraft lease
Airliner:186,"Narrowbody are dominant with 16,235, followed by 5,581 Widebodies, 3,743 Turboprops, 3,565 Regional jets and 399 Others.",Airliner
Environmental impact of aviation:94,"Today, turboprop aircraft - probably in part because of their lower cruising speeds and altitudes similar to the earlier piston-powered airliners compared to jet airliners - play an obvious role in the overall fuel efficiency of major airlines that have regional carrier subsidiaries.",Environmental impact of aviation
Wide-body aircraft:0,"A wide-body aircraft, also known as a twin-aisle aircraft, is a jet airliner with a fuselage wide enough to accommodate two passenger aisles with seven or more seats abreast.",Wide-body aircraft
2000s (decade):2036,"This decade is on track to become the warmest since records began in 1850, and 2009 could rank among the top-five warmest years, the U.N. weather agency reported Tuesday on the second day of a pivotal 192-nation climate conference.",2000s decade
2000s (decade):629,"In December 2009, the World Meteorological Organization WMO announced that the 2000s may have been the warmest decade since records began in 1850, with four of the five warmest years since 1850 having occurred in this decade.",2000s decade
2010 Northern Hemisphere heat waves:290,The temperature was the hottest measured in 68 years.,2010 Northern Hemisphere heat waves
January:2,"It is, on average, the coldest month of the year within most of the Northern Hemisphere where it is the second month of winter and the warmest month of the year within most of the Southern Hemisphere where it is the second month of summer.",January
"Kansas City, Missouri:159","The coldest month of the year is January, with an average temperature of 31 °F -0.6 °C.","Kansas City, Missouri"
Month:87,"It has 12 months, broken down into two groups of six often termed winter months and summer months.",Month
New York City:239,"The warmest year on record is 2012, with a mean temperature of 57.4 °F 14.1 °C.",New York City
"Portland, Oregon:107","The months of June, July, August and September account for a combined 4.49 inches 114 mm of total rainfall - only 12% of the 36.03 in 915 mm of the precipitation that falls throughout the year.","Portland, Oregon"
Effects of global warming on oceans:6,"In another study, results estimate the heat content of the ocean in the upper 700 meters has increased significantly from 1955-2010.",Effects of global warming on oceans
Global warming:417,"Warming of the ocean accounts for about 93% of the increase in the Earths energy inventory between 1971 and 2010 high confidence, with warming of the upper 0 to 700 m ocean accounting for about 64% of the total.",Global warming
Indian Ocean:56,"Long-term ocean temperature records show a rapid, continuous warming in the Indian Ocean, at about 1.2 °C 34.2 °F compared to 0.7 °C 33.3 °F for the warm pool region during 1901-2012.",Indian Ocean
Sea level rise:75,"Heat gets transported into deeper parts of the ocean by winds and currents, and some of it reaches depths of more than 2,000 m 6,600 ft.",Sea level rise
Greenland ice sheet:10,"From about 11 million years ago to 10 million years ago, the Greenland Ice Sheet was greatly reduced in size.",Greenland ice sheet
Greenland ice sheet:142,"Also snowfall was unusually low, which led to unprecedented negative -65 km3 -15.6 cu mi Surface Mass Balance.",Greenland ice sheet
Greenland ice sheet:146,Analysis of gravity data from GRACE satellites indicates that the Greenland ice sheet lost approximately 2900 Gt 0.1% of its total mass between March 2002 and September 2012.,Greenland ice sheet
Retreat of glaciers since 1850:1187,Increasing rates of ice mass loss from the Greenland and Antarctic ice sheets revealed by GRACE.,Retreat of glaciers since 1850
Glacier:151,"Extensive glaciers are found in Antarctica, Argentina, Chile, Canada, Alaska, Greenland and Iceland.",Glacier
Glacier:152,"Mountain glaciers are widespread, especially in the Andes, the Himalayas, the Rocky Mountains, the Caucasus, Scandinavian mountains, and the Alps.",Glacier
Glacier:6,"Between 35°N and 35°S, glaciers occur only in the Himalayas, Andes, Rocky Mountains, a few high mountains in East Africa, Mexico, New Guinea and on Zard Kuh in Iran.",Glacier
Glacier:92,"Following the Little Ice Ages end around 1850, glaciers around the Earth have retreated substantially.",Glacier
Retreat of glaciers since 1850:11,"The retreat of mountain glaciers, notably in western North America, Asia, the Alps and tropical and subtropical regions of South America, Africa and Indonesia, provide evidence for the rise in global temperatures since the late 19th century.",Retreat of glaciers since 1850
Arctic Ocean:122,"The mean extent of the ice has been decreasing since 1980 from the average winter value of 15,600,000 km2 6,023,200 sq mi at a rate of 3% per decade.",Arctic Ocean
Arctic ice pack:26,The September minimum ice extent trend for 1979-2011 declined by 12.0% per decade during 32 years.,Arctic ice pack
Arctic sea ice decline:17,"Observation with satellites show that Arctic sea ice area, extent, and volume have been in decline for a few decades.",Arctic sea ice decline
Arctic sea ice decline:20,The amount of multi-year sea ice in the Arctic has declined considerably in recent decades.,Arctic sea ice decline
Arctic sea ice decline:33,A 2018 study of the thickness of sea ice found a decrease of 66% or 2.0 m over the last six decades and a shift from permanent ice to largely seasonal ice cover.,Arctic sea ice decline
New York City:237,"The warmest month on record is July 1999, with a mean temperature of 81.4 °F 27.4 °C.",New York City
Physical impacts of climate change:11,Global surface temperatures in 2016 had increased about 1.0 °C since the 1901.,Physical impacts of climate change
Hurricane Irma:1109,"Extensive flooding, damage in Turks and Caicos.",Hurricane Irma
Hurricane Irma:315,Rainfall resulted in several rivers reaching major flood stage.,Hurricane Irma
Hurricane Irma:333,"Heavy precipitation - and storm surge, in some instances - overflowed at least 32 rivers and creeks, causing in significant flooding, particularly along the St. Johns River and its tributaries.",Hurricane Irma
Hurricane Irma:353,"Lee County was lashed by strong winds and heavy rainfall, which caused prolonged flooding in some areas.",Hurricane Irma
Hurricane Irma:478,"In the days after the hurricane, due to the heavy rainfall, numerous rivers had flooded, including residential areas.",Hurricane Irma
Human impact on marine life:59,Ocean acidification has increased 26% since the beginning of the industrial era.,Human impact on marine life
Ocean acidification:49,"In the 15-year period 1995-2010 alone, acidity has increased 6 percent in the upper 100 meters of the Pacific Ocean from Hawaii to Alaska.",Ocean acidification
Ocean acidification:5,"Between 1751 and 1996, surface ocean pH is estimated to have decreased from approximately 8.25 to 8.14, representing an increase of almost 30% in H+ ion concentration in the worlds oceans.",Ocean acidification
The Sixth Extinction: An Unnatural History:67,"Since the beginning of the Industrial Revolution, we have seen increasing levels of carbon dioxide in the atmosphere at an alarming rate.",An Unnatural History
Global warming:121,Roughly half of each years CO2 emissions have been absorbed by plants on land and in oceans.,Global warming
Greenhouse effect:48,This increase in radiative forcing from human activity is attributable mainly to increased atmospheric carbon dioxide levels.,Greenhouse effect
Oceanic carbon cycle:121,Current annual increase in atmospheric CO2 is approximately 4 gigatons of carbon.,Oceanic carbon cycle
Oceanic carbon cycle:71,"Carbon dioxide is absorbed from the atmosphere at the oceans surface at an exchange rate which varies locally but on average, the oceans have a net absorption of CO2 2.2 Pg C per year.",Oceanic carbon cycle
2019–20 Australian bushfire season:2211,"Climate change is one factor affecting how fires in Australia burn, regardless of whether arsonists or lightning started them.",2019-20 Australian bushfire season
Permian–Triassic extinction event:256,"The resultant global warming may have caused perhaps the most severe anoxic event in the oceans history: according to this theory, the oceans became so anoxic, anaerobic sulfur-reducing organisms dominated the chemistry of the oceans and caused massive emissions of toxic hydrogen sulfide.",Permian-Triassic extinction event
Greenhouse gas:165,According to the report plastic will contribute greenhouse gases in the equivalent of 850 million tonnes of carbon dioxide CO2 to the atmosphere in 2019.,Greenhouse gas
Greenhouse gas:169,The pharmaceutical industry emitted 52 megatonnes of Carbon dioxide into the atmosphere in 2015.,Greenhouse gas
Snowball Earth:157,"The carbon dioxide levels necessary to thaw Earth have been estimated as being 350 times what they are today, about 13% of the atmosphere.",Snowball Earth
Scientific consensus on climate change:22,"The overall risks of climate change impacts can be reduced by limiting the rate and magnitude of climate change Without new policies to mitigate climate change, projections suggest an increase in global mean temperature in 2100 of 3.7 to 4.8 °C, relative to pre-industrial levels median values; the range is 2.5 to 7.8 °C including climate uncertainty.",Scientific consensus on climate change
Tipping points in the climate system:67,"The tipping point is difficult to predict, but is estimated to be between 3-4 °C of global temperature rise.",Tipping points in the climate system
Earth:1532,Evidence is now unequivocal that humans are causing global warming - UN report.,Earth
Extinction event:100,"As a result, they are likely to cause the climate to oscillate between cooling and warming, but with an overall trend towards warming as the carbon dioxide they emit can stay in the atmosphere for hundreds of years.",Extinction event
Volcano:175,"The aerosols increase the Earths albedo, its reflection of radiation from the Sun back into space, and thus cool the Earths lower atmosphere or troposphere; however, they also absorb heat radiated up from the Earth, thereby warming the stratosphere.",Volcano
Paris Agreement:114,"At the conclusion of COP 21 the 21st meeting of the Conference of the Parties, which guides the Conference, on 12 December 2015, the final wording of the Paris Agreement was adopted by consensus by all of the 195 UNFCCC participating member states and the European Union to reduce emissions as part of the method for reducing greenhouse gas.",Paris Agreement
Paris Agreement:118,"On 1 April 2016, the United States and China, which together represent almost 40% of global emissions, issued a joint statement confirming that both countries would sign the Paris Climate Agreement.",Paris Agreement
Paris Agreement:134,"187 states and the EU, representing more than 87% of global greenhouse gas emissions, have ratified or acceded to the Agreement, including China, the United States and India, the countries with three of the four largest greenhouse gas emissions of the UNFCCC members total about 42% together.",Paris Agreement
Paris Agreement:174,"The top four emitters China, USA, EU28 and India contribute to over 55% of the total emissions over the last decade, excluding emissions from land-use change such as deforestation.",Paris Agreement
